unidade_norm,unidade_original,classificacao,quantidade_magistrados,quantidade,percentual_total,diferenca_absoluta_media,diferenca_percentual_media,processos_por_magistrado,diferenca_absoluta_media_magistrado,diferenca_percentual_media_magistrado,cenario
2 VARA DO TRABALHO DE RIO DO SUL,2ª VARA DO TRABALHO DE RIO DO SUL,NEUTRA,2.0,190,1.6563507976636735,-1.1833333333333371,-0.6189521401795852,95.0,-18.574257425742573,-16.354284717984484,SEM_EQUALIZACAO
2 VARA DO TRABALHO DE TUBARAO,2ª VARA DO TRABALHO DE TUBARÃO,DESTINATARIA,2.0,94,0.8194577630546596,-97.18333333333334,-50.832534216720425,47.0,-66.57425742574257,-58.617382965739694,SEM_EQUALIZACAO
2 VARA DO TRABALHO SAO JOSE,2ª VARA DO TRABALHO SÃO JOSÉ,NEUTRA,2.0,223,1.9440327783105222,31.816666666666663,16.64196669863133,111.5,-2.074257425742573,-1.8263446953186286,SEM_EQUALIZACAO
3 VARA DO TRABALHO DE BLUMENAU,3ª VARA DO TRABALHO DE BLUMENAU,DESTINATARIA,2.0,183,1.5953273472234328,-8.183333333333337,-4.280359166594021,91.5,-22.074257425742573,-19.43596896521663,SEM_EQUALIZACAO
3 VARA DO TRABALHO DE CHAPECO,3ª VARA DO TRABALHO DE CHAPECÓ,CEDENTE,1.0,180,1.5691744398919012,-11.183333333333337,-5.849533606485923,180.0,66.42574257425743,58.486618429082036,SEM_EQUALIZACAO
3 VARA DO TRABALHO DE CRICIUMA,3ª VARA DO TRABALHO DE CRICIÚMA,NEUTRA,2.0,249,2.17069130851713,57.81666666666666,30.241478511027807,124.5,10.925742574257427,9.619911080115074,SEM_EQUALIZACAO
3 VARA DO TRABALHO DE FLORIANOPOLIS,3ª VARA DO TRABALHO DE FLORIANÓPOLIS,NEUTRA,1.0,116,1.0112457501525587,-75.18333333333334,-39.32525499084648,116.0,2.425742574257427,2.1358207654084227,SEM_EQUALIZACAO
3 VARA DO TRABALHO DE ITAJAI,3ª VARA DO TRABALHO DE ITAJAÍ,NEUTRA,2.0,285,2.4845261964955108,93.81666666666666,49.07157178973062,142.5,28.925742574257427,25.468572923023274,SEM_EQUALIZACAO
3 VARA DO TRABALHO DE JOINVILLE,3ª VARA DO TRABALHO DE JOINVILLE,CEDENTE,2.0,227,1.978903321419231,35.81666666666666,18.734199285153863,113.5,-0.07425742574257299,-0.06538226832882811,SEM_EQUALIZACAO
3 VARA DO TRABALHO DE LAGES,3ª VARA DO TRABALHO DE LAGES,DESTINATARIA,2.0,103,0.8979164850492546,-88.18333333333334,-46.125010897044724,51.5,-62.07425742574257,-54.655217505012644,SEM_EQUALIZACAO
3 VARA DO TRABALHO SAO JOSE,3ª VARA DO TRABALHO SÃO JOSÉ,NEUTRA,2.0,217,1.891726963647459,25.816666666666663,13.503617818847527,108.5,-5.074257425742573,-4.467788335803329,SEM_EQUALIZACAO
4 VARA DO TRABALHO DE BLUMENAU,4ª VARA DO TRABALHO DE BLUMENAU,DESTINATARIA,2.0,163,1.4209746316798884,-28.183333333333337,-14.741522099206698,81.5,-32.07425742574257,-28.240781100165634,SEM_EQUALIZACAO
4 VARA DO TRABALHO DE CHAPECO,4ª VARA DO TRABALHO DE CHAPECÓ,CEDENTE,1.0,219,1.9091622352018132,27.816666666666663,14.549734112108794,219.0,105.42574257425743,92.82538575538314,SEM_EQUALIZACAO
4 VARA DO TRABALHO DE FLORIANOPOLIS,4ª VARA DO TRABALHO DE FLORIANÓPOLIS,NEUTRA,1.0,113,0.9850928428210269,-78.18333333333334,-40.894429430738384,113.0,-0.574257425742573,-0.5056228750762782,SEM_EQUALIZACAO
4 VARA DO TRABALHO DE JOINVILLE,4ª VARA DO TRABALHO DE JOINVILLE,CEDENTE,2.0,221,1.9265975067561676,29.816666666666663,15.595850405370063,110.5,-3.074257425742573,-2.7068259088135287,SEM_EQUALIZACAO
5 VARA DO TRABALHO DE FLORIANOPOLIS,5ª VARA DO TRABALHO DE FLORIANÓPOLIS,NEUTRA,2.0,189,1.6476331618864963,-2.183333333333337,-1.142010286810219,94.5,-19.074257425742573,-16.794525324731932,SEM_EQUALIZACAO
5 VARA DO TRABALHO DE JOINVILLE,5ª VARA DO TRABALHO DE JOINVILLE,CEDENTE,2.0,276,2.406067474500915,84.81666666666666,44.36404847005492,138.0,24.425742574257427,21.506407462296227,SEM_EQUALIZACAO
6 VARA DO TRABALHO DE FLORIANOPOLIS,6ª VARA DO TRABALHO DE FLORIANÓPOLIS,NEUTRA,2.0,199,1.734809519658269,7.816666666666663,4.088571179496118,99.5,-14.074257425742573,-12.39211925725743,SEM_EQUALIZACAO
7 VARA DO TRABALHO DE FLORIANOPOLIS,7ª VARA DO TRABALHO DE FLORIANÓPOLIS,NEUTRA,1.0,115,1.0025281143753813,-76.18333333333334,-39.84831313747711,115.0,1.425742574257427,1.2553395519135222,SEM_EQUALIZACAO
VARA DO TRABALHO DE ARARANGUA,VARA DO TRABALHO DE ARARANGUÁ,DESTINATARIA,2.0,217,1.891726963647459,25.816666666666663,13.503617818847527,108.5,-5.074257425742573,-4.467788335803329,SEM_EQUALIZACAO
VARA DO TRABALHO DE CACADOR,VARA DO TRABALHO DE CAÇADOR,NEUTRA,1.0,157,1.368668817016825,-34.18333333333334,-17.8798709789905,157.0,43.42574257425743,38.23555051869933,SEM_EQUALIZACAO
VARA DO TRABALHO DE CANOINHAS,VARA DO TRABALHO DE CANOINHAS,DESTINATARIA,2.0,122,1.063551564815622,-69.18333333333334,-36.18690611106268,61.0,-52.57425742574257,-46.29064597681109,SEM_EQUALIZACAO
VARA DO TRABALHO DE CONCORDIA,VARA DO TRABALHO DE CONCÓRDIA,CEDENTE,2.0,240,2.092232586522535,48.81666666666666,25.533955191352103,120.0,6.425742574257427,5.657745619388023,SEM_EQUALIZACAO
VARA DO TRABALHO DE CURITIBANOS,VARA DO TRABALHO DE CURITIBANOS,DESTINATARIA,1.0,109,0.950222299712318,-82.18333333333334,-42.98666201726092,109.0,-4.574257425742573,-4.027547729055879,SEM_EQUALIZACAO
VARA DO TRABALHO DE FRAIBURGO,VARA DO TRABALHO DE FRAIBURGO,DESTINATARIA,1.0,90,0.7845872199459506,-101.18333333333334,-52.92476680324296,90.0,-23.574257425742573,-20.756690785458982,SEM_EQUALIZACAO
VARA DO TRABALHO DE IMBITUBA,VARA DO TRABALHO DE IMBITUBA,CEDENTE,1.0,168,1.4645628105657746,-23.183333333333337,-12.126231366053528,168.0,54.42574257425743,47.92084386714323,SEM_EQUALIZACAO
VARA DO TRABALHO DE INDAIAL,VARA DO TRABALHO DE INDAIAL,DESTINATARIA,1.0,75,0.6538226832882922,-116.18333333333334,-60.77063900270247,75.0,-38.57425742574257,-33.96390898788248,SEM_EQUALIZACAO
